mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.793535041809082,2.327380525371415,0.03337011337280273,0.0022670547968947456,5,10,400,"{'max_depth': 5, 'min_samples_leaf': 10, 'n_estimators': 400}",0.6657486173439886,0.5646116735178213,0.6777393760267931,0.4667305982969525,0.5338738429622227,0.5817408216295556,0.08010622824717832,19
2.2512449264526366,1.1074752168852526,0.014146566390991211,0.001589716302097282,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6534606999634403,0.5751323332965442,0.6737526168056684,0.4164534445399998,0.46557732964470355,0.5568752848500713,0.10136664423409317,44
4.460285568237305,2.127070978161677,0.02316117286682129,0.0016382364485486042,10,1,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}",0.6548636252535369,0.5738264302992898,0.6760691482960961,0.4196173952576716,0.475473209705188,0.5599699617623565,0.09951318931433267,37
8.9173273563385,4.222011001289986,0.042879676818847655,0.002746761367492886,10,1,400,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6545942269228788,0.5732561268623371,0.677197417432901,0.41274326772887016,0.47368942076399556,0.5582960919421965,0.10195937631561669,41
2.0023702144622804,0.9890616513915726,0.014845752716064453,0.002059990065373312,10,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",0.6610412184098136,0.5669178444986083,0.6832666003178941,0.42350017805935236,0.4872528291345264,0.5643957340840389,0.09927696511502458,33
4.067696666717529,2.0463507343557685,0.02351202964782715,0.003141309369648323,10,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 200}",0.6573187135897767,0.5674951757017923,0.6821837827702184,0.43102788848363127,0.4886509171114516,0.565335295531374,0.09595640336277901,25
8.319575214385987,4.249126771569935,0.04159636497497558,0.0032635973383488373,10,2,400,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6580884344234222,0.5694641572865909,0.6810530641049429,0.4249192990491736,0.48913882037130996,0.564532755047088,0.09749885002001853,32
1.731844186782837,0.9073207519838121,0.011706352233886719,0.0015877064846400264,10,5,100,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 100}",0.6695749247217351,0.5683271141629829,0.6813888128521186,0.4589427700291777,0.542490369297525,0.5841447982127079,0.08296450245346469,9
3.4912206172943114,1.7972893357805728,0.021359586715698244,0.0010122208804224206,10,5,200,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 200}",0.6686668716715627,0.569517143784189,0.680004822928663,0.4596457947659264,0.5347919171094507,0.5825253100519584,0.08302973989761459,16
6.782451868057251,3.5799431099695207,0.03835539817810059,0.002950867290638249,10,5,400,"{'max_depth': 10, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6701059401330405,0.5677516926604417,0.6819213292395345,0.45674763982596944,0.5429810955907147,0.5839015394899401,0.08383614060066444,14
