date,et_mm,region,et_mm_fuera_de_rango,es_duplicado
2019-12-01,3.365496506158073,Cauca,False,False
2020-01-01,3.8139248211980807,Cauca,False,False
2020-02-01,3.5630178394295537,Cauca,False,False
2020-03-01,3.495219561978594,Cauca,False,False
2020-04-01,3.6368783611100968,Cauca,False,False
2020-05-01,3.617142909938024,Cauca,False,False
2020-06-01,3.709863135101278,Cauca,False,False
2020-07-01,3.611908153885536,Cauca,False,False
2020-08-01,3.675807299288601,Cauca,False,False
2020-09-01,3.4172975872754106,Cauca,False,False
2020-10-01,3.394502302197872,Cauca,False,False
2020-11-01,3.274487337228882,Cauca,False,False
2020-12-01,2.96751060879462,Cauca,False,False
2021-01-01,3.1550790928548795,Cauca,False,False
2021-02-01,3.4494299742287926,Cauca,False,False
2021-03-01,3.2162547193248745,Cauca,False,False
2021-04-01,3.518128995104836,Cauca,False,False
2021-05-01,3.84316097385208,Cauca,False,False
2021-06-01,3.5213345328822707,Cauca,False,False
2021-07-01,3.8304227584392345,Cauca,False,False
2021-08-01,3.4590478718489783,Cauca,False,False
2021-09-01,3.4550334275191203,Cauca,False,False
2021-10-01,3.601873821510233,Cauca,False,False
2021-11-01,3.448477705316086,Cauca,False,False
2021-12-01,3.4308748245736247,Cauca,False,False
2022-01-01,3.6094689634471417,Cauca,False,False
2022-02-01,3.4358801175382268,Cauca,False,False
2022-03-01,3.46933347743555,Cauca,False,False
2022-04-01,3.4393125297754965,Cauca,False,False
2022-05-01,3.627938925555101,Cauca,False,False
2022-06-01,3.3325937210379,Cauca,False,False
2022-07-01,3.333998264798107,Cauca,False,False
2022-08-01,3.8048640826064055,Cauca,False,False
2022-09-01,3.555648499899468,Cauca,False,False
2022-10-01,3.7187869079726186,Cauca,False,False
2022-11-01,3.5527117253478924,Cauca,False,False
2022-12-01,3.627105253527647,Cauca,False,False
2023-01-01,3.53370127278737,Cauca,False,False
2023-02-01,3.844627068038891,Cauca,False,False
2023-03-01,3.610095451317152,Cauca,False,False
2023-04-01,3.7412415072975183,Cauca,False,False
2023-05-01,3.965187452068636,Cauca,False,False
2023-06-01,3.971931382632607,Cauca,False,False
