date,dewpoint_c,lai_high,pet_mm,precip_mm,region,soil_moist_layer1,soil_moist_layer2,soil_moist_layer3,tmax_c,tmean_c,tmin_c
2005-06-23,17.265497647869903,3.844876278861252,-4.849449038830051,8.612005082588531,Narino,0.43510202349808563,0.4343265845850389,0.42604021671850467,22.6857138497707,19.52075588516079,17.631804265607727
2005-06-24,17.337384778535768,3.8437975505817663,-5.071856200949897,9.94671449906413,Narino,0.4339641270764294,0.4347894489894819,0.42677500467655743,22.78992916591443,19.68419245689011,17.77655514237067
2005-06-25,16.912665283151764,3.842725050703289,-6.023280249391514,7.130911028844097,Narino,0.43007837554047923,0.4328685192763924,0.4265933728098453,23.162068531675256,19.695892836160674,17.401683823693453
2005-06-26,17.181590870362527,3.841643702005471,-5.212423799473648,8.737446205991734,Narino,0.42609841768487317,0.4300935989182699,0.4259270173840628,22.78753060121872,19.701528349696392,17.528086253073077
2005-06-27,17.60545820664109,3.8405680985791117,-3.6297563987193264,17.180774651669793,Narino,0.4291104518261704,0.43079781407526285,0.42731300948495976,21.5542961741272,19.392795460518514,17.78260602178309
2005-06-28,17.38789824802198,3.8394936389976935,-5.133561036994919,9.768662237565975,Narino,0.4312927004165458,0.4304059294913359,0.42830543094806495,22.680228784039315,19.50362526518475,17.56440103212808
2005-06-29,17.53150098066826,3.838410224133936,-4.039695242057349,13.218410688283889,Narino,0.4387156539722972,0.4345647479674861,0.4271219419959583,22.093064546662866,19.24210523978246,17.600734408383435
2005-06-30,16.326646800804596,3.837339804393084,-6.9489086525204025,4.413870032042186,Narino,0.4299526150035877,0.43496824452472405,0.4276712484134006,24.040141799690016,19.523688443550046,16.229964511970927
2005-07-01,16.54566949122048,3.8362611680991408,-6.659253842460702,4.441784128703384,Narino,0.4221675072702387,0.42651889018942823,0.4242169068658091,23.588989267068097,19.971011843680245,16.939878931529606
2005-07-02,16.82218149828207,3.8351858004212858,-6.17866436552012,13.734133178514483,Narino,0.4308422814028604,0.4315617048200892,0.4236411073087648,23.439582067637723,19.77975183897822,17.44475079130181
