date,et_mm,region
2004-11-01,3.6246285948450727,Cauca
2004-12-01,3.2081972321277634,Cauca
2005-01-01,3.7478289976772454,Cauca
2005-02-01,3.7558034272337526,Cauca
2005-03-01,3.1262171489024566,Cauca
2005-04-01,3.6545012256345086,Cauca
2005-05-01,3.632618042977866,Cauca
2005-06-01,3.752147811809875,Cauca
2005-07-01,3.9027049772935607,Cauca
2005-08-01,3.473711978451825,Cauca
2005-09-01,3.172621113468593,Cauca
2005-10-01,3.812119896290111,Cauca
2005-11-01,3.6277808209106497,Cauca
2005-12-01,2.9846642464814406,Cauca
2006-01-01,3.3596177006140686,Cauca
2006-02-01,3.607656248260432,Cauca
2006-03-01,3.519303607090936,Cauca
2006-04-01,3.650475742712975,Cauca
2006-05-01,3.9966071624357764,Cauca
2006-06-01,3.757059074370006,Cauca
2006-07-01,3.662404119477045,Cauca
2006-08-01,3.6475178827712207,Cauca
2006-09-01,3.3616835253012662,Cauca
2006-10-01,3.5837930765309784,Cauca
2006-11-01,3.2067963081304844,Cauca
2006-12-01,3.5442394820357253,Cauca
2007-01-01,3.6821823351864165,Cauca
2007-02-01,4.025877142709008,Cauca
2007-03-01,3.421070929957481,Cauca
2007-04-01,3.6082252778966555,Cauca
2007-05-01,3.603164022429123,Cauca
2007-06-01,3.6147586550712805,Cauca
2007-07-01,3.8166570126141997,Cauca
2007-08-01,3.175044146740075,Cauca
2007-09-01,3.3461739236866324,Cauca
2007-10-01,3.4315313237645024,Cauca
2007-11-01,3.8459972095877633,Cauca
2007-12-01,3.3317222928580237,Cauca
2008-01-01,3.3419151779005407,Cauca
2008-02-01,3.1925528392528535,Cauca
2008-03-01,3.3482516408361,Cauca
2008-04-01,3.6651926380209288,Cauca
2008-05-01,3.5420702480119104,Cauca
2008-06-01,3.5081762187242216,Cauca
2008-07-01,3.526896958042565,Cauca
2008-08-01,3.4128739999955497,Cauca
2008-09-01,3.5276336452862043,Cauca
2008-10-01,3.7591254066142286,Cauca
2008-11-01,3.561782831685155,Cauca
2008-12-01,3.326981915889638,Cauca
2009-01-01,2.996225302287617,Cauca
2009-02-01,3.2527234547751247,Cauca
2009-03-01,3.5099568679006707,Cauca
2009-04-01,3.5366904884782913,Cauca
2009-05-01,3.796084322726847,Cauca
2009-06-01,3.492235751792934,Cauca
2009-07-01,4.0097658132769,Cauca
2009-08-01,3.5263768698813123,Cauca
2009-09-01,3.7368794406753443,Cauca
2009-10-01,3.8511561215991557,Cauca
2009-11-01,3.940031021401185,Cauca
2009-12-01,3.3935541110239362,Cauca
2010-01-01,3.8571854973174133,Cauca
2010-02-01,3.4039398675250983,Cauca
2010-03-01,3.643606715015377,Cauca
2010-04-01,3.4844476667981183,Cauca
2010-05-01,3.5882570526070925,Cauca
2010-06-01,3.51627441665443,Cauca
2010-07-01,3.515655415529516,Cauca
2010-08-01,3.4826680803498182,Cauca
2010-09-01,3.4362808308869783,Cauca
2010-10-01,3.7430573643899008,Cauca
2010-11-01,3.2214039237587055,Cauca
2010-12-01,3.05466984553089,Cauca
2011-01-01,3.5436228688112945,Cauca
2011-02-01,3.4653972222943557,Cauca
2011-03-01,3.6333840983585506,Cauca
2011-04-01,3.5575637854723348,Cauca
2011-05-01,3.557795481399622,Cauca
2011-06-01,3.4424346429118415,Cauca
2011-07-01,3.664357440616867,Cauca
2011-08-01,3.567772132220827,Cauca
2011-09-01,3.476921015608918,Cauca
2011-10-01,3.547004584825552,Cauca
2011-11-01,3.6481163263872367,Cauca
2011-12-01,3.4216703052606894,Cauca
2012-01-01,3.0887346235918978,Cauca
